,me_change
1327,359088.9375
1328,358508.75
1329,357930.5
1330,357353.5625
1331,356778.0625
1332,356202.625
1333,355629.6875
1334,355056.75
1335,354485.4375
1336,353915.5
1337,353347.0
1338,352779.40625
1339,352213.6875
1340,351647.71875
1341,351084.5625
1342,350522.0625
1343,349960.625
1344,349401.0625
1345,348840.25
1346,348282.03125
1347,347726.1875
1348,347169.8125
1349,346614.59375
1350,346060.71875
1351,345503.34375
1352,344942.03125
1353,344379.15625
1354,343819.59375
1355,343253.71875
1356,342694.53125
1357,342134.5
1358,341575.875
1359,341017.4375
1360,340457.625
1361,339906.6875
1362,339349.1875
1363,338792.0625
1364,338240.0625
1365,337687.9375
1366,337135.71875
1367,336584.4375
1368,336034.5
1369,335490.5625
1370,334942.09375
1371,334390.5
1372,333842.6875
1373,333296.8125
1374,332751.0625
1375,332206.46875
1376,331663.4375
1377,331119.75
1378,330575.5
1379,330032.21875
1380,329489.28125
1381,328954.0
1382,328420.0
1383,327881.375
1384,327342.40625
1385,326812.8125
1386,326283.15625
1387,325752.3125
1388,325225.1875
1389,324698.96875
1390,324170.25
1391,323652.21875
1392,323135.71875
1393,322613.5
1394,322092.09375
1395,321576.15625
1396,321063.5625
1397,320550.21875
1398,320037.125
1399,319531.25
1400,319024.65625
1401,318517.78125
1402,318017.78125
1403,317521.0
1404,317022.9375
1405,316528.125
1406,316025.34375
1407,315522.53125
1408,315021.46875
1409,314516.03125
1410,314017.0
1411,313596.6875
1412,313179.59375
1413,312772.6875
1414,312369.71875
1415,311967.3125
1416,311566.375
1417,311179.1875
1418,310790.59375
1419,310402.125
1420,310013.6875
1421,309633.375
1422,309257.90625
1423,308880.125
1424,308505.28125
1425,308135.59375
1426,307766.25
1427,307397.4375
1428,307028.5
1429,306664.65625
1430,306300.125
1431,305935.4375
1432,305574.96875
1433,305213.84375
1434,304852.6875
1435,304497.625
1436,304140.09375
1437,303779.09375
1438,303429.625
1439,303079.0
1440,302724.90625
1441,302369.21875
1442,302011.71875
1443,301663.1875
1444,301311.625
1445,300965.8125
1446,300618.34375
1447,300270.0
1448,299925.21875
1449,299579.0625
1450,299236.1875
1451,298892.125
1452,298549.34375
1453,298207.125
1454,297866.25
1455,297524.625
1456,297186.0625
1457,296844.6875
1458,296510.59375
1459,296172.75
1460,295832.125
1461,295496.1875
1462,295161.59375
1463,294824.0625
1464,294484.84375
1465,294150.46875
1466,293799.125
1467,293436.90625
1468,293079.125
1469,292722.75
1470,292364.71875
1471,292005.96875
1472,291645.21875
1473,291286.15625
1474,290926.75
1475,290568.5625
1476,290213.03125
1477,289862.1875
1478,289511.46875
1479,289162.8125
1480,288814.9375
1481,288464.84375
1482,288115.375
1483,287765.625
1484,287416.53125
1485,287067.59375
1486,286719.625
1487,286371.90625
1488,286024.78125
1489,285678.09375
1490,285331.59375
1491,284985.1875
1492,284640.125
1493,284295.03125
1494,283951.25
1495,283606.78125
1496,283262.25
1497,282917.5
1498,282573.6875
1499,282230.40625
1500,281887.84375
1501,281545.15625
1502,281203.625
1503,280861.34375
1504,280519.90625
1505,280178.84375
1506,279838.65625
1507,279501.71875
1508,279160.65625
1509,278822.9375
1510,278486.28125
1511,278148.78125
1512,277811.78125
1513,277475.78125
1514,277140.125
1515,276806.09375
1516,276472.0625
1517,276139.6875
1518,275807.375
1519,275475.78125
1520,275144.90625
1521,274814.71875
1522,274485.75
1523,274156.3125
1524,273827.625
1525,273499.8125
1526,273172.1875
1527,272845.40625
1528,272519.25
1529,272193.375
1530,271828.9375
1531,271448.0625
1532,271079.40625
1533,270934.46875
1534,270420.75
1535,270167.53125
1536,269890.84375
1537,269565.75
1538,269190.375
1539,268780.1875
1540,268360.03125
1541,268489.0625
1542,267741.75
1543,267597.21875
1544,267525.0625
1545,267354.96875
1546,267141.6875
1547,266849.6875
1548,266482.0625
1549,266059.375
1550,265591.375
1551,265031.9375
1552,264471.5
1553,264914.25
1554,264751.6875
1555,263879.5
1556,263374.5625
1557,263354.1875
1558,263235.71875
1559,262957.53125
1560,262524.5625
1561,261989.421875
1562,261379.8125
1563,261536.0
1564,261475.421875
1565,260717.734375
1566,260146.484375
1567,260143.3125
1568,259850.25
1569,259273.328125
1570,258674.625
1571,258476.625
1572,257949.78125
1573,257594.90625
1574,257538.5
1575,257086.03125
1576,256834.390625
1577,256613.15625
1578,256108.65625
1579,255856.5625
1580,255594.9375
1581,254947.09375
1582,255160.25
1583,255061.65625
1584,254590.265625
1585,253820.6875
1586,253968.375
1587,253960.25
1588,253311.625
1589,252610.6875
1590,252620.875
1591,252317.3125
1592,251782.265625
1593,251634.25
1594,251407.75
1595,250700.71875
1596,250874.1875
1597,250801.34375
1598,250356.265625
1599,249701.21875
1600,249411.4375
1601,249274.375
